experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2')",1,42,54800.72,41644.516,157.96436,41644.516,46698.86,16225.984375,13799.46484375,
"host+('guest_1', 'guest_2')",1,43,44204.457,39131.74,153.13527,39131.74,49437.637,15496.6875,14560.75390625,
"host+('guest_1', 'guest_2')",1,44,42595.434,36712.406,148.28131,36712.406,51411.156,15808.75,14009.5078125,
"host+('guest_1', 'guest_2')",1,45,44998.27,34275.33,143.24355,34275.33,54051.984,16185.53125,14351.73828125,
"host+('guest_1', 'guest_2')",1,46,37774.0,31774.559,137.93315,31774.559,56295.934,15410.6015625,14535.7109375,
"host+('guest_1', 'guest_2')",1,47,36138.38,29332.848,132.58308,29332.848,58504.145,15605.8515625,14006.625,
"host+('guest_1', 'guest_2')",1,48,30918.545,26933.197,127.1291,26933.197,60701.78,14072.759765625,15342.220703125,
"host+('guest_1', 'guest_2')",1,49,28269.902,24681.89,121.622116,24681.89,63270.11,15800.5390625,15778.9296875,
"host+('guest_1', 'guest_2')",1,50,28079.498,22500.81,115.98303,22500.81,65146.836,14082.576171875,15894.119140625,
"host+('guest_1', 'guest_2')",1,51,23355.14,20363.908,110.31655,20363.908,67321.586,14306.931640625,15320.728515625,
"host+('guest_1', 'guest_2')",1,52,21266.953,18352.236,104.72219,18352.236,68374.7,14591.791015625,15287.443359375,
"host+('guest_1', 'guest_2')",1,53,22048.627,16440.033,99.100784,16440.033,72155.555,13287.126953125,15831.18359375,
"host+('guest_1', 'guest_2')",1,54,17581.38,14526.46,93.17027,14526.46,73071.7,14189.1904296875,15772.2939453125,
"host+('guest_1', 'guest_2')",1,55,14916.243,12774.14,87.416534,12774.14,75118.82,13578.2119140625,16448.8515625,
"host+('guest_1', 'guest_2')",1,56,12579.915,11209.17,81.92858,11209.17,74391.625,13253.55859375,16481.208984375,
"host+('guest_1', 'guest_2')",1,57,11864.071,9819.077,76.69973,9819.077,77401.6,12980.0673828125,16634.53125,
"host+('guest_1', 'guest_2')",1,58,9595.662,8556.112,71.64176,8556.112,79576.61,13041.8681640625,16826.53515625,
"host+('guest_1', 'guest_2')",1,59,8219.082,7429.264,66.84349,7429.264,80893.58,12681.3359375,16141.447265625,
"host+('guest_1', 'guest_2')",1,60,7454.771,6450.3887,62.34841,6450.3887,80656.83,13137.71875,16654.0625,
"host+('guest_1', 'guest_2')",1,61,6106.202,5603.4287,58.13523,5603.4287,82001.32,12446.3173828125,16463.1171875,
"host+('guest_1', 'guest_2')",1,62,5603.993,4853.1787,54.17981,4853.1787,83313.484,12785.8447265625,17672.52734375,
"host+('guest_1', 'guest_2')",1,63,4560.497,4180.7,50.360313,4180.7,82682.71,12470.0458984375,16809.546875,
"host+('guest_1', 'guest_2')",1,64,4295.4688,3622.1653,46.884346,3622.1653,83875.01,12516.8935546875,17754.892578125,
"host+('guest_1', 'guest_2')",1,65,3536.9329,3131.3792,43.653214,3131.3792,86731.69,12555.228515625,17720.443359375,
"host+('guest_1', 'guest_2')",1,66,3081.81,2720.569,40.783066,2720.569,85855.734,12094.3271484375,18392.5546875,
"host+('guest_1', 'guest_2')",1,67,2543.5483,2379.087,38.34267,2379.087,85218.6,12394.82421875,17913.1953125,
"host+('guest_1', 'guest_2')",1,68,2327.6147,2109.3618,36.265774,2109.3618,83514.47,12062.544921875,18103.365234375,
